ACC_ID,SSN,FIRST_NAME,LAST_NAME,PASSPORT,ADDRESS,CITY,COUNTRY,AGE,MARITAL,GENDER,OCCUPATION,INCOME
12605244,111222343,John,Smith,C11122210,1220 Walker Rd.,Newark,United States,51,MARRIED,M,DIRECTOR,1005000
12605222,111222341,Maria,Graham,C11122208,Ap #976-1176 Malesuada Avenue,Kansas City,United States,45,MARRIED,M,DIRECTOR,1200000
12605233,111222342,James,Patrick,C11122209,650-6823 Fringilla Rd.,Olympia,United States,62,MARRIED,F,CEO,1150000
12400528,111222333,Abigail,Peake,C11122200,"P.O. Box 281, 7465 Enim. Road",Knoxville,United States,21,SINGLE,M,STUDENT,100000
12605155,111222338,Irene,Langdon,C11122205,932-1988 Augue Street,Reading,United States,29,SINGLE,F,DENTIST,750000
12605199,111222339,Lillian,Hodges,C11122206,"P.O. Box 663, 505 In St.",Newark,United States,33,MARRIED,M,PROFESSOR,780000
12605088,111222335,Dan,Black,C11122202,5151 Pede. Ave,Las Vegas,United States,24,SINGLE,M,STUDENT,112000
12605077,111222334,Blake,Poole,C11122201,"P.O. Box 685, 3082 Dolor Rd.",Cincinnati,United States,23,SINGLE,F,INTERN,85000
12605122,111222336,Sally,Dowd,C11122203,"P.O. Box 284, 5405 Quam. Road",Springdale,United States,22,SINGLE,F,INTERN,98000
12605144,111222337,Maria,Churchill,C11122204,Ap #273-3220 Condimentum Rd.,Bear,United States,32,MARRIED,M,PROFESSOR,690000
12605201,111222340,Una,Bower,C11122207,326-4585 Mauris Av.,Warren,United States,35,MARRIED,F,DENTIST,720000
12605266,111222344,Steve,Kingsley,C11122211,88 Wall Street,Washington,United States,48,MARRIED,F,CEO,1075000
